episode,score,accumulated_reward
1,41,454.0499999999896
2,35,392.3899999999935
3,27,296.3699999999972
4,19,205.1500000000006
5,7,65.64000000000024
6,14,150.10000000000088
7,33,359.4999999999948
8,49,545.0299999999877
9,46,513.0699999999857
1,47,522.5699999999903
2,23,261.4100000000009
3,53,599.169999999987
4,32,354.45999999999594
5,8,80.22000000000075
6,23,250.54000000000184
7,29,326.5299999999959
8,31,352.8099999999906
9,18,198.1300000000009
10,13,131.2800000000011
11,35,387.639999999994
12,36,397.2899999999948
13,34,378.4399999999896
14,22,235.69999999999965
15,24,262.5700000000002
16,24,263.39999999999804
17,30,335.2799999999964
18,27,299.80999999999534
19,43,479.3799999999836
20,15,158.9500000000011
21,23,252.05000000000058
22,45,502.1399999999809
23,26,285.3499999999978
24,39,440.25999999998976
25,58,659.7199999999975
26,43,481.1299999999906
27,20,227.5400000000011
28,27,283.98999999999876
29,32,359.1999999999935
30,16,172.7200000000008
31,19,212.97000000000068
32,35,391.09999999999013
33,36,399.82999999999214
34,11,114.1700000000006
35,23,258.4899999999993
36,16,174.8600000000015
37,26,289.7799999999963
38,45,503.2299999999883
39,22,237.67000000000073
40,21,229.69000000000077
41,14,143.6199999999978
42,27,297.9899999999992
43,25,283.59999999999945
44,9,91.0300000000003
45,31,345.69999999999374
46,25,279.84999999999724
47,35,392.7799999999941
48,40,442.0299999999928
49,18,192.03000000000048
50,28,313.049999999993
51,39,417.4399999999931
52,34,370.7099999999872
53,21,226.51000000000033
54,31,353.0099999999948
55,64,723.3799999999966
56,34,369.81999999999505
57,24,268.6199999999958
58,30,332.32999999999805
59,33,368.8199999999929
60,26,298.6399999999979
61,27,303.00999999999505
62,20,215.74000000000063
63,37,419.8499999999929
64,18,198.810000000001
65,38,435.1899999999894
66,17,183.55000000000086
67,36,403.9999999999925
68,35,389.5299999999927
69,45,505.1299999999802
70,42,472.85999999998523
71,9,91.57000000000043
72,25,275.34000000000043
73,10,106.96000000000068
74,31,347.7099999999971
75,30,343.3399999999957
76,33,358.0699999999945
77,18,195.94000000000042
78,18,188.98000000000124
79,43,485.6199999999828
80,38,429.8099999999892
81,11,110.11000000000126
82,35,392.11999999999415
83,17,185.67000000000027
84,45,506.1299999999824
85,11,115.850000000001
86,33,369.61999999999324
87,21,228.0600000000003
88,44,487.08999999997087
89,29,315.9399999999953
90,30,326.2499999999969
91,27,294.429999999998
92,64,701.539999999986
93,35,390.2499999999874
94,30,330.01999999998134
95,26,280.2099999999988
96,26,289.44999999999817
97,49,545.3999999999879
