episode,score,accumulated_reward
136,21,128.57569549396908
137,57,331.4812073394242
138,32,209.79039910808473
139,25,184.6140937387419
140,11,59.07539606044499
141,19,127.17155453238283
142,19,130.97381382115884
143,52,299.1202584032817
144,63,436.8887315385392
145,59,376.62398961554004
146,29,193.46061367815628
147,32,187.63709943893355
148,29,202.36184086718524
149,39,269.4977734228008
150,33,228.38260466814057
151,46,310.8211196713819
152,42,267.54663682938667
153,14,54.76742726793255
154,31,217.1633888630898
155,31,187.0660335500381
156,62,389.61368904081854
157,43,234.5468579811795
158,12,15.027737318039133
159,22,151.4459097063691
160,30,168.7352592564692
161,44,275.9834221027727
162,35,231.7418563872847
163,49,330.76584105305545
164,26,164.55692921719603
165,62,369.9660172699225
166,49,288.6419498029007
167,45,333.78065602305657
168,15,24.474290192357216
169,41,289.0669723642782
170,56,382.9820219073002
171,56,348.6668061598602
172,16,88.87320814824355
173,36,209.12032074862432
174,13,46.80601859969929
175,65,454.8733000833395
176,26,185.70627688855043
177,37,246.11045692685082
178,47,302.4681313907591
179,38,236.80993290411473
180,50,319.884976877747
181,52,375.0469750614067
182,53,358.89836354855106
183,46,317.38791239326935
184,53,391.9945741666136
185,54,369.74772441540335
186,58,380.7602820092765
187,25,85.30061028514865
188,71,469.7706378145738
189,31,226.1820026529409
190,60,394.2244021655952
191,36,232.1764714150244
192,20,107.15695166417125
193,54,358.04315309392973
194,23,127.4011934871954
195,47,307.6143623342762
196,36,207.62514488442778
197,44,317.10208057536073
198,55,389.9336684816485
199,38,209.10779606076198
200,57,400.4208093154224
201,37,251.13818557362623
202,31,201.3694249828881
203,8,48.37377209158207
204,60,376.9656583434428
205,25,166.50209043558203
206,64,397.6824338174368
207,28,180.23146330935475
208,83,526.8602266039715
209,21,120.30460763597637
210,31,175.5547567797116
211,31,190.99074224145542
212,12,90.4410582352919
213,54,306.35392517603105
214,34,214.69462335850952
215,55,397.79673009163787
216,51,316.41832922090276
217,70,442.8545176461524
218,44,281.00104984935103
219,68,485.13370692672015
220,41,279.90842566003687
221,55,352.5065870430173
222,50,360.8991773843576
223,64,399.47832300246364
224,52,363.09076011520904
225,31,203.85835832432284
226,42,285.98544049282015
227,49,326.7678127451416
228,33,187.191681648685
229,24,151.9811303293765
230,88,629.8889865442135
231,66,443.48618767568274
232,32,205.6227391640853
233,13,32.046013898869575
234,37,242.63142239726142
235,13,41.74326434542596
236,36,241.87254263209167
237,20,140.49401168249915
238,20,119.84806863324482
239,39,236.7715319329523
240,31,184.12781311082514
241,22,131.9798060849945
242,78,491.89243680862484
243,41,301.0279791165865
244,53,349.2550511916589
245,33,229.57984625427295
246,36,255.8884139572595
247,52,340.4359301930262
248,47,331.0546903406973
249,27,151.36853611561645
250,26,147.575424042864
251,26,137.6519291775976
252,51,317.11734115203876
253,39,265.7055733996925
254,23,136.5705608336441
255,23,144.61538420910688
256,49,366.8355329637819
257,26,127.753597606656
258,66,461.3805407116031
259,56,378.7206687584203
260,11,76.24393216815629
261,16,115.57972704117192
262,30,173.30033313633857
263,33,207.81191943766217
264,59,398.8147584105962
265,30,210.85817215239211
266,30,164.8319418030443
267,11,13.605933135234917
268,57,413.64723372511503
269,28,191.98096617007263
270,36,218.00501948562652
271,27,194.69845303747155
272,68,454.191042676346
273,32,217.8576571180574
274,57,371.90418114041495
275,41,270.0900877215538
276,31,158.1766567796797
277,18,101.51530585866809
278,68,423.7021855751914
279,33,212.38671889100334
280,14,69.9735895787835
281,59,381.15381914574704
282,45,259.92584007574345
283,56,356.94254755000907
284,58,390.65841711317654
285,42,302.7095489729153
286,17,86.27602773647149
287,24,138.99670700166664
288,34,241.78089963218747
289,30,197.25972934387616
290,41,263.3922182175247
291,41,254.07171981006843
292,44,321.7174654776576
293,32,164.96795786421515
294,31,207.17574941600117
295,47,293.67745707450257
296,15,60.406481965607625
297,59,379.3177166323867
298,50,337.95828454118566
299,31,190.66278909605757
300,23,138.56857632610146
301,33,214.2428380857851
302,41,296.95538012870855
303,19,126.21593085267304
304,38,209.27697816271996
305,69,481.6540062601411
306,66,428.19540376603464
307,65,430.1300326273143
308,19,104.30264833820902
309,27,138.3826171149478
310,27,161.95899570398282
311,21,103.86505251319679
312,38,227.77782353766648
313,20,133.77150831487015
314,49,317.690842140176
315,49,340.17926653552036
316,28,181.92787958402238
317,84,551.4801798442259
